



ITEM NO	ITEM_DESC	MSP	MSRP	DEALER PRICE	RETAIL-MAP	sale-price	end-sale	UPC	BRAND	FIREARM-ACTION	ATF-MODEL	CAL/GA
798681443352	SIG P938 NIT SA PST 9MM 7R NS	571.00	699.99	571.00	649.99	0.00		798681443352	SIG SAUER	PISTOL	P938	9MM PARA
798681448739	SIG P229 M11 DA PST 9MM 15R NS	959.00	1199.99	959.00	1099.99	0.00		798681448739	SIG SAUER	PISTOL	P228	9MM PARA
798681450053	SIG P226 EXT PST DA 9MM 10R CA	1046.00	1299.99	1046.00	1199.99	0.00		798681450053	SIG SAUER	PISTOL	P226	9MM PARA
798681450107	SIG P226 SCP DA 9MM 10R FDE CA	1133.00	1429.99	1133.00	1299.99	0.00		798681450107	SIG SAUER	PISTOL	P226	9MM PARA
798681450695	SIG P226 MK-25 PST DA 9MM 15R	959.00	1199.99	959.00	1099.99	0.00		798681450695	SIG SAUER	PISTOL	P226	9MM PARA
798681504114	SIG P938 NIT PST 9MM 7R NS MA	571.00	699.99	571.00	649.99	0.00		798681504114	SIG SAUER	PISTOL	P938	9MM PARA
798681505951	SIG P320C NIT PST 9MM 15R FS	448.00	579.99	448.00	N/A	0.00		798681505951	SIG SAUER	PISTOL	P320	9MM X19
798681506019	SIG P320F NIT PST 9MM 17R FS	448.00	579.99	448.00	N/A	438.00	3/15/2023	798681506019	SIG SAUER	PISTOL	P320	9MM
798681513505	SIG P320C NIT PST 45AP 9R NS	483.00	599.99	483.00	549.99	0.00		798681513505	SIG SAUER	PISTOL	P320	45AP
798681544752	SIG P210 TARGET 9MM 8R 5SS FS	1656.00	2079.99	1656.00	1899.99	0.00		798681544752	SIG SAUER	PISTOL	P210	9MM
798681553372	SIG P320C PST 9MM 10R FS MA	483.00	599.99	483.00	549.99	0.00		798681553372	SIG SAUER	PISTOL	P320	9MM X 19
798681582495	SIG P226 LEGION DA 9MM 10R MA	1133.00	1429.99	1133.00	1299.99	0.00		798681582495	SIG SAUER	PISTOL	P226	9MM PARA
798681582501	SIG P226 LEGION SA 9MM 10R MA	1133.00	1429.99	1133.00	1299.99	0.00		798681582501	SIG SAUER	PISTOL	P226	9MM PARA
798681582532	SIG P938 LEGION SA 9MM 7R	615.00	779.99	615.00	699.99	0.00		798681582532	SIG SAUER	PISTOL	SIG SAUER P938	9MM PARA
798681582686	SIG P320F M17 9MM 21R NS MS	566.00	699.99	566.00	649.99	566.00	3/31/2023	798681582686	SIG SAUER	PISTOL	P320	9MM X 19
798681582983	SIG P226 MK-25 DA 9MM 10R MA	959.00	1199.99	959.00	1099.99	0.00		798681582983	SIG SAUER	PISTOL	P226	9MM PARA
798681596607	SIG P220 LEGION DA 45AP 8R MA	1133.00	1429.99	1133.00	1299.99	0.00		798681596607	SIG SAUER	PISTOL	P220	45AP
798681597765	SIG M400 TREAD RFL 5.56 30R B	753.00	949.99	753.00	849.99	753.00	3/31/2023	798681597765	SIG SAUER INC	RIFLE	SIGM400	5.56 NATO
798681602995	SIG P365 NIT PST 9MM 10R MS MA	448.00	579.99	448.00	499.99	0.00		798681602995	SIG SAUER	PISTOL	P365	9MM
798681607556	SIG P320CA M18 9MM 21R NS MS	566.00	699.99	566.00	649.99	566.00	3/31/2023	798681607556	SIG SAUER	PISTOL	P320	9MM X 19
798681616022	SIG P938 LEGION SA 9MM 7R MA	615.00	779.99	615.00	699.99	0.00		798681616022	SIG SAUER	PISTOL	P938	9MM PARA
798681617166	SIG P238 2-TONE PST 380 6R CA	571.00	699.99	571.00	649.99	0.00		798681617166	SIG SAUER	PISTOL	P238	380 AUTO
798681618040	SIG P320CA M18 9MM 10R NS MS	566.00	699.99	566.00	649.99	0.00		798681618040	SIG SAUER	PISTOL	P320	9MM X 19
